"Step","PPO_caller_IMMEDIATE_REWARD__1__1684282541 - test/reward_bad_team_mean","PPO_caller_IMMEDIATE_REWARD__1__1684282541 - test/reward_bad_team_mean__MIN","PPO_caller_IMMEDIATE_REWARD__1__1684282541 - test/reward_bad_team_mean__MAX","PPO_caller__1__1683930581 - test/reward_bad_team_mean","PPO_caller__1__1683930581 - test/reward_bad_team_mean__MIN","PPO_caller__1__1683930581 - test/reward_bad_team_mean__MAX"
"0","78.40599822998047","78.40599822998047","78.40599822998047","76.99099731445312","76.99099731445312","76.99099731445312"
"1000","78.1989974975586","78.1989974975586","78.1989974975586","77.88200378417969","77.88200378417969","77.88200378417969"
"2000","77.83000183105469","77.83000183105469","77.83000183105469","78.31300354003906","78.31300354003906","78.31300354003906"
"3000","78.37799835205078","78.37799835205078","78.37799835205078","79.09700012207031","79.09700012207031","79.09700012207031"
"4000","78.73999786376953","78.73999786376953","78.73999786376953","78.5250015258789","78.5250015258789","78.5250015258789"
"5000","78.91000366210938","78.91000366210938","78.91000366210938","79.26599884033203","79.26599884033203","79.26599884033203"
"6000","78.60399627685547","78.60399627685547","78.60399627685547","79.4739990234375","79.4739990234375","79.4739990234375"
"7000","78.58200073242188","78.58200073242188","78.58200073242188","79.38200378417969","79.38200378417969","79.38200378417969"
"8000","80.01100158691406","80.01100158691406","80.01100158691406","79.40899658203125","79.40899658203125","79.40899658203125"
"9000","79.83300018310547","79.83300018310547","79.83300018310547","79.00700378417969","79.00700378417969","79.00700378417969"
"10000","79.37100219726562","79.37100219726562","79.37100219726562","79.02200317382812","79.02200317382812","79.02200317382812"
"11000","79.83899688720703","79.83899688720703","79.83899688720703","79.44300079345703","79.44300079345703","79.44300079345703"
"12000","79.38600158691406","79.38600158691406","79.38600158691406","80.25900268554688","80.25900268554688","80.25900268554688"
"13000","80.53700256347656","80.53700256347656","80.53700256347656","79.75599670410156","79.75599670410156","79.75599670410156"
"14000","80.49800109863281","80.49800109863281","80.49800109863281","79.78900146484375","79.78900146484375","79.78900146484375"
"15000","80.7699966430664","80.7699966430664","80.7699966430664","80.45899963378906","80.45899963378906","80.45899963378906"
"16000","81.63600158691406","81.63600158691406","81.63600158691406","81.79000091552734","81.79000091552734","81.79000091552734"
"17000","81.27300262451172","81.27300262451172","81.27300262451172","79.52300262451172","79.52300262451172","79.52300262451172"
"18000","81.08999633789062","81.08999633789062","81.08999633789062","80.83499908447266","80.83499908447266","80.83499908447266"
"19000","80.95600128173828","80.95600128173828","80.95600128173828","81.2249984741211","81.2249984741211","81.2249984741211"
"20000","81.91899871826172","81.91899871826172","81.91899871826172","80.81999969482422","80.81999969482422","80.81999969482422"
"21000","81.64399719238281","81.64399719238281","81.64399719238281","81.47599792480469","81.47599792480469","81.47599792480469"
"22000","81.71199798583984","81.71199798583984","81.71199798583984","81.11100006103516","81.11100006103516","81.11100006103516"
"23000","81.89099884033203","81.89099884033203","81.89099884033203","80.5009994506836","80.5009994506836","80.5009994506836"
"24000","81.67500305175781","81.67500305175781","81.67500305175781","81.71299743652344","81.71299743652344","81.71299743652344"
"25000","82.26699829101562","82.26699829101562","82.26699829101562","81.14700317382812","81.14700317382812","81.14700317382812"
"26000","81.7509994506836","81.7509994506836","81.7509994506836","81.35900115966797","81.35900115966797","81.35900115966797"
"27000","81.87899780273438","81.87899780273438","81.87899780273438","81.49800109863281","81.49800109863281","81.49800109863281"
"28000","82.37899780273438","82.37899780273438","82.37899780273438","80.89399719238281","80.89399719238281","80.89399719238281"
"29000","81.927001953125","81.927001953125","81.927001953125","82.53500366210938","82.53500366210938","82.53500366210938"
"30000","81.43000030517578","81.43000030517578","81.43000030517578","81.7490005493164","81.7490005493164","81.7490005493164"
"31000","81.88099670410156","81.88099670410156","81.88099670410156","81.50900268554688","81.50900268554688","81.50900268554688"
"32000","82.38600158691406","82.38600158691406","82.38600158691406","81.46900177001953","81.46900177001953","81.46900177001953"
"33000","82.64299774169922","82.64299774169922","82.64299774169922","82.76300048828125","82.76300048828125","82.76300048828125"
"34000","82.72699737548828","82.72699737548828","82.72699737548828","82.34500122070312","82.34500122070312","82.34500122070312"
"35000","83.03800201416016","83.03800201416016","83.03800201416016","82.03399658203125","82.03399658203125","82.03399658203125"
"36000","81.88899993896484","81.88899993896484","81.88899993896484","83.12899780273438","83.12899780273438","83.12899780273438"
"37000","82.87300109863281","82.87300109863281","82.87300109863281","82.93199920654297","82.93199920654297","82.93199920654297"
"38000","83.01799774169922","83.01799774169922","83.01799774169922","82.3550033569336","82.3550033569336","82.3550033569336"
"39000","82.6050033569336","82.6050033569336","82.6050033569336","81.98500061035156","81.98500061035156","81.98500061035156"
