"Step","RAINBOW caller & callee heuristic","RAINBOW caller & callee heuristic__MIN","RAINBOW caller & callee heuristic__MAX","DDQN caller & callee heuristic","DDQN caller & callee heuristic__MIN","DDQN caller & callee heuristic__MAX","SAC caller & callee heuristic","SAC caller & callee heuristic__MIN","SAC caller & callee heuristic__MAX"
"1","83.39900207519531","83.39900207519531","83.39900207519531","83.85700225830078","83.85700225830078","83.85700225830078","84.01100158691406","84.01100158691406","84.01100158691406"
"8000","83.41200256347656","83.41200256347656","83.41200256347656","83.6969985961914","83.6969985961914","83.6969985961914","82.8270034790039","82.8270034790039","82.8270034790039"
"15999","84.8550033569336","84.8550033569336","84.8550033569336","83.9209976196289","83.9209976196289","83.9209976196289","83.72000122070312","83.72000122070312","83.72000122070312"
"23998","83.19100189208984","83.19100189208984","83.19100189208984","83.91600036621094","83.91600036621094","83.91600036621094","84.21199798583984","84.21199798583984","84.21199798583984"
"31997","84.40599822998047","84.40599822998047","84.40599822998047","84.73500061035156","84.73500061035156","84.73500061035156","85.87100219726562","85.87100219726562","85.87100219726562"
"39996","84.2239990234375","84.2239990234375","84.2239990234375","84.0199966430664","84.0199966430664","84.0199966430664","85.05899810791016","85.05899810791016","85.05899810791016"
"47995","83.56199645996094","83.56199645996094","83.56199645996094","82.8030014038086","82.8030014038086","82.8030014038086","84.02100372314453","84.02100372314453","84.02100372314453"
"55994","84.25299835205078","84.25299835205078","84.25299835205078","83.91799926757812","83.91799926757812","83.91799926757812","85.44000244140625","85.44000244140625","85.44000244140625"
"63993","83.90799713134766","83.90799713134766","83.90799713134766","84.27899932861328","84.27899932861328","84.27899932861328","85.16899871826172","85.16899871826172","85.16899871826172"
"71992","84.5199966430664","84.5199966430664","84.5199966430664","83.11599731445312","83.11599731445312","83.11599731445312","85.05599975585938","85.05599975585938","85.05599975585938"
"79991","84.03500366210938","84.03500366210938","84.03500366210938","83.75399780273438","83.75399780273438","83.75399780273438","85.74299621582031","85.74299621582031","85.74299621582031"
"87990","83.45500183105469","83.45500183105469","83.45500183105469","83.36900329589844","83.36900329589844","83.36900329589844","86.36100006103516","86.36100006103516","86.36100006103516"
"95989","84.58300018310547","84.58300018310547","84.58300018310547","85.30500030517578","85.30500030517578","85.30500030517578","86.73100280761719","86.73100280761719","86.73100280761719"
"103988","84.27300262451172","84.27300262451172","84.27300262451172","83.7750015258789","83.7750015258789","83.7750015258789","85.31400299072266","85.31400299072266","85.31400299072266"
"111987","83.8550033569336","83.8550033569336","83.8550033569336","84.98600006103516","84.98600006103516","84.98600006103516","86.96700286865234","86.96700286865234","86.96700286865234"
"119986","85.46099853515625","85.46099853515625","85.46099853515625","84.21099853515625","84.21099853515625","84.21099853515625","85.66999816894531","85.66999816894531","85.66999816894531"
"127985","84.26699829101562","84.26699829101562","84.26699829101562","84.1240005493164","84.1240005493164","84.1240005493164","85.1259994506836","85.1259994506836","85.1259994506836"
"135984","84.47200012207031","84.47200012207031","84.47200012207031","85.18800354003906","85.18800354003906","85.18800354003906","85.65499877929688","85.65499877929688","85.65499877929688"
"143983","84.25900268554688","84.25900268554688","84.25900268554688","84.35800170898438","84.35800170898438","84.35800170898438","85.88400268554688","85.88400268554688","85.88400268554688"
"151982","83.22599792480469","83.22599792480469","83.22599792480469","83.8740005493164","83.8740005493164","83.8740005493164","85.13300323486328","85.13300323486328","85.13300323486328"
"159981","84.18900299072266","84.18900299072266","84.18900299072266","84.95800018310547","84.95800018310547","84.95800018310547","84.87000274658203","84.87000274658203","84.87000274658203"
"167980","83.83499908447266","83.83499908447266","83.83499908447266","83.34700012207031","83.34700012207031","83.34700012207031","85.71900177001953","85.71900177001953","85.71900177001953"
"175979","84.91100311279297","84.91100311279297","84.91100311279297","84.61000061035156","84.61000061035156","84.61000061035156","85.18499755859375","85.18499755859375","85.18499755859375"
"183978","84.57099914550781","84.57099914550781","84.57099914550781","84.35900115966797","84.35900115966797","84.35900115966797","84.23999786376953","84.23999786376953","84.23999786376953"
"191977","84.14199829101562","84.14199829101562","84.14199829101562","83.81700134277344","83.81700134277344","83.81700134277344","85.48100280761719","85.48100280761719","85.48100280761719"
"199976","84.26200103759766","84.26200103759766","84.26200103759766","84.16300201416016","84.16300201416016","84.16300201416016","84.19100189208984","84.19100189208984","84.19100189208984"
"207975","84.95899963378906","84.95899963378906","84.95899963378906","84.4000015258789","84.4000015258789","84.4000015258789","84.8550033569336","84.8550033569336","84.8550033569336"
"215974","84.17900085449219","84.17900085449219","84.17900085449219","83.11799621582031","83.11799621582031","83.11799621582031","84.60600280761719","84.60600280761719","84.60600280761719"
"223973","83.61299896240234","83.61299896240234","83.61299896240234","84.09200286865234","84.09200286865234","84.09200286865234","85.31600189208984","85.31600189208984","85.31600189208984"
"231972","83.03900146484375","83.03900146484375","83.03900146484375","82.95800018310547","82.95800018310547","82.95800018310547","84.18900299072266","84.18900299072266","84.18900299072266"
"239971","84.01200103759766","84.01200103759766","84.01200103759766","85.38400268554688","85.38400268554688","85.38400268554688","85.65399932861328","85.65399932861328","85.65399932861328"
"247970","85.48999786376953","85.48999786376953","85.48999786376953","84.91999816894531","84.91999816894531","84.91999816894531","84.2760009765625","84.2760009765625","84.2760009765625"
"255969","85.12100219726562","85.12100219726562","85.12100219726562","84.64099884033203","84.64099884033203","84.64099884033203","83.99099731445312","83.99099731445312","83.99099731445312"
"263968","84.81600189208984","84.81600189208984","84.81600189208984","84.19200134277344","84.19200134277344","84.19200134277344","85.22100067138672","85.22100067138672","85.22100067138672"
"271967","83.28199768066406","83.28199768066406","83.28199768066406","82.82499694824219","82.82499694824219","82.82499694824219","82.9990005493164","82.9990005493164","82.9990005493164"
"279966","83.83100128173828","83.83100128173828","83.83100128173828","83.7509994506836","83.7509994506836","83.7509994506836","85.04299926757812","85.04299926757812","85.04299926757812"
"287965","84.05899810791016","84.05899810791016","84.05899810791016","83.4469985961914","83.4469985961914","83.4469985961914","84.15899658203125","84.15899658203125","84.15899658203125"
"295964","84.1510009765625","84.1510009765625","84.1510009765625","84.36000061035156","84.36000061035156","84.36000061035156","83.9020004272461","83.9020004272461","83.9020004272461"
"303963","84.08699798583984","84.08699798583984","84.08699798583984","85.02799987792969","85.02799987792969","85.02799987792969","83.91400146484375","83.91400146484375","83.91400146484375"
"311962","84.5530014038086","84.5530014038086","84.5530014038086","83.30500030517578","83.30500030517578","83.30500030517578","83.9530029296875","83.9530029296875","83.9530029296875"
"319961","84.16600036621094","84.16600036621094","84.16600036621094","83.30000305175781","83.30000305175781","83.30000305175781","83.125","83.125","83.125"
