"Step","RAINBOW caller/callee jointly","RAINBOW caller/callee jointly__MIN","RAINBOW caller/callee jointly__MAX","RAINBOW caller/callee cyclic epoch=10","RAINBOW caller/callee cyclic epoch=10__MIN","RAINBOW caller/callee cyclic epoch=10__MAX","RAINBOW caller/callee cyclic epoch=5","RAINBOW caller/callee cyclic epoch=5__MIN","RAINBOW caller/callee cyclic epoch=5__MAX"
"1","77.83899688720703","77.83899688720703","77.83899688720703","77.83899688720703","77.83899688720703","77.83899688720703","77.83899688720703","77.83899688720703","77.83899688720703"
"8000","76.73799896240234","76.73799896240234","76.73799896240234","76.2760009765625","76.2760009765625","76.2760009765625","76.2760009765625","76.2760009765625","76.2760009765625"
"15999","78.22799682617188","78.22799682617188","78.22799682617188","77.48899841308594","77.48899841308594","77.48899841308594","77.48899841308594","77.48899841308594","77.48899841308594"
"23998","77.66899871826172","77.66899871826172","77.66899871826172","77.27200317382812","77.27200317382812","77.27200317382812","77.27200317382812","77.27200317382812","77.27200317382812"
"31997","78.56900024414062","78.56900024414062","78.56900024414062","78.6709976196289","78.6709976196289","78.6709976196289","78.6709976196289","78.6709976196289","78.6709976196289"
"39996","78.18199920654297","78.18199920654297","78.18199920654297","77.29299926757812","77.29299926757812","77.29299926757812","77.29299926757812","77.29299926757812","77.29299926757812"
"47995","77.56800079345703","77.56800079345703","77.56800079345703","76.50900268554688","76.50900268554688","76.50900268554688","76.50900268554688","76.50900268554688","76.50900268554688"
"55994","77.2699966430664","77.2699966430664","77.2699966430664","77.33100128173828","77.33100128173828","77.33100128173828","77.33100128173828","77.33100128173828","77.33100128173828"
"63993","77.54199981689453","77.54199981689453","77.54199981689453","77.35600280761719","77.35600280761719","77.35600280761719","77.35600280761719","77.35600280761719","77.35600280761719"
"71992","78.04399871826172","78.04399871826172","78.04399871826172","78.4469985961914","78.4469985961914","78.4469985961914","78.4469985961914","78.4469985961914","78.4469985961914"
"79991","78.84500122070312","78.84500122070312","78.84500122070312","77.8010025024414","77.8010025024414","77.8010025024414","77.8010025024414","77.8010025024414","77.8010025024414"
"87990","77.25399780273438","77.25399780273438","77.25399780273438","77.42400360107422","77.42400360107422","77.42400360107422","77.88800048828125","77.88800048828125","77.88800048828125"
"95989","79.21600341796875","79.21600341796875","79.21600341796875","78.36900329589844","78.36900329589844","78.36900329589844","78.27400207519531","78.27400207519531","78.27400207519531"
"103988","77.3219985961914","77.3219985961914","77.3219985961914","78.03099822998047","78.03099822998047","78.03099822998047","77.24400329589844","77.24400329589844","77.24400329589844"
"111987","77.86599731445312","77.86599731445312","77.86599731445312","77.9229965209961","77.9229965209961","77.9229965209961","78.84700012207031","78.84700012207031","78.84700012207031"
"119986","77.07499694824219","77.07499694824219","77.07499694824219","77.71299743652344","77.71299743652344","77.71299743652344","78.34200286865234","78.34200286865234","78.34200286865234"
