"Step","SAC caller/callee cyclic epoch=5","SAC caller/callee cyclic epoch=5__MIN","SAC caller/callee cyclic epoch=5__MAX","SAC caller/callee cyclic epoch=10","SAC caller/callee cyclic epoch=10__MIN","SAC caller/callee cyclic epoch=10__MAX","SAC caller/callee cyclic epoch=20","SAC caller/callee cyclic epoch=20__MIN","SAC caller/callee cyclic epoch=20__MAX","SAC caller/callee jointly","SAC caller/callee jointly__MIN","SAC caller/callee jointly__MAX"
"1","78.34100341796875","78.34100341796875","78.34100341796875","78.34100341796875","78.34100341796875","78.34100341796875","78.34100341796875","78.34100341796875","78.34100341796875","78.54199981689453","78.54199981689453","78.54199981689453"
"8000","76.13300323486328","76.13300323486328","76.13300323486328","76.13300323486328","76.13300323486328","76.13300323486328","77.01599884033203","77.01599884033203","77.01599884033203","78.33200073242188","78.33200073242188","78.33200073242188"
"15999","77.4990005493164","77.4990005493164","77.4990005493164","77.4990005493164","77.4990005493164","77.4990005493164","77.59700012207031","77.59700012207031","77.59700012207031","78.36599731445312","78.36599731445312","78.36599731445312"
"23998","75.625","75.625","75.625","75.625","75.625","75.625","76.71099853515625","76.71099853515625","76.71099853515625","79.19100189208984","79.19100189208984","79.19100189208984"
"31997","78.68099975585938","78.68099975585938","78.68099975585938","78.68099975585938","78.68099975585938","78.68099975585938","77.94400024414062","77.94400024414062","77.94400024414062","78.447998046875","78.447998046875","78.447998046875"
"39996","78.58100128173828","78.58100128173828","78.58100128173828","78.58100128173828","78.58100128173828","78.58100128173828","78.91899871826172","78.91899871826172","78.91899871826172","79.03099822998047","79.03099822998047","79.03099822998047"
"47995","77.93000030517578","77.93000030517578","77.93000030517578","77.93000030517578","77.93000030517578","77.93000030517578","78.38300323486328","78.38300323486328","78.38300323486328","78.64099884033203","78.64099884033203","78.64099884033203"
"55994","77.7969970703125","77.7969970703125","77.7969970703125","77.7969970703125","77.7969970703125","77.7969970703125","77.85700225830078","77.85700225830078","77.85700225830078","78.94200134277344","78.94200134277344","78.94200134277344"
"63993","78.78199768066406","78.78199768066406","78.78199768066406","78.78199768066406","78.78199768066406","78.78199768066406","77.73100280761719","77.73100280761719","77.73100280761719","79.0250015258789","79.0250015258789","79.0250015258789"
"71992","77.18699645996094","77.18699645996094","77.18699645996094","77.18699645996094","77.18699645996094","77.18699645996094","78.31800079345703","78.31800079345703","78.31800079345703","77.86900329589844","77.86900329589844","77.86900329589844"
