"Step","PPO_caller__1__1683930581 (Run set 2) - test/reward_bad_team_mean","PPO_caller__1__1683930581 (Run set 2) - test/reward_bad_team_mean__MIN","PPO_caller__1__1683930581 (Run set 2) - test/reward_bad_team_mean__MAX","PPO_caller_heuristic_callee__1__1683929490 (Run set 2) - test/reward_bad_team_mean","PPO_caller_heuristic_callee__1__1683929490 (Run set 2) - test/reward_bad_team_mean__MIN","PPO_caller_heuristic_callee__1__1683929490 (Run set 2) - test/reward_bad_team_mean__MAX","PPO_callee_heuristic_calleer__1__1683929490 (Run set 2) - test/reward_bad_team_mean","PPO_callee_heuristic_calleer__1__1683929490 (Run set 2) - test/reward_bad_team_mean__MIN","PPO_callee_heuristic_calleer__1__1683929490 (Run set 2) - test/reward_bad_team_mean__MAX"
"0","76.99099731445312","76.99099731445312","76.99099731445312","84.52799987792969","84.52799987792969","84.52799987792969","83.697998046875","83.697998046875","83.697998046875"
"1000","77.88200378417969","77.88200378417969","77.88200378417969","86.0459976196289","86.0459976196289","86.0459976196289","84.76100158691406","84.76100158691406","84.76100158691406"
"2000","78.31300354003906","78.31300354003906","78.31300354003906","86.36699676513672","86.36699676513672","86.36699676513672","86.06300354003906","86.06300354003906","86.06300354003906"
"3000","79.09700012207031","79.09700012207031","79.09700012207031","86.0250015258789","86.0250015258789","86.0250015258789","85.46800231933594","85.46800231933594","85.46800231933594"
"4000","78.5250015258789","78.5250015258789","78.5250015258789","87.33499908447266","87.33499908447266","87.33499908447266","86.4229965209961","86.4229965209961","86.4229965209961"
"5000","79.26599884033203","79.26599884033203","79.26599884033203","87.60700225830078","87.60700225830078","87.60700225830078","86.58499908447266","86.58499908447266","86.58499908447266"
"6000","79.4739990234375","79.4739990234375","79.4739990234375","86.68900299072266","86.68900299072266","86.68900299072266","86.85800170898438","86.85800170898438","86.85800170898438"
"7000","79.38200378417969","79.38200378417969","79.38200378417969","88.03199768066406","88.03199768066406","88.03199768066406","87.08799743652344","87.08799743652344","87.08799743652344"
"8000","79.40899658203125","79.40899658203125","79.40899658203125","87.98600006103516","87.98600006103516","87.98600006103516","87.32599639892578","87.32599639892578","87.32599639892578"
"9000","79.00700378417969","79.00700378417969","79.00700378417969","88.80500030517578","88.80500030517578","88.80500030517578","87.25900268554688","87.25900268554688","87.25900268554688"
