test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
79.2300033569336,40.80099868774414,0,rnn
78.71299743652344,40.82600021362305,16000,rnn
76.38800048828125,41.0359992980957,32000,rnn
75.90399932861328,40.76100158691406,48000,rnn
76.96099853515625,42.28200149536133,64000,rnn
77.68900299072266,43.566001892089844,80000,rnn
77.53700256347656,42.027000427246094,96000,rnn
79.70700073242188,44.19900131225586,112000,rnn
78.80500030517578,44.11600112915039,128000,rnn
79.20099639892578,43.99399948120117,144000,rnn
79.02100372314453,43.569000244140625,160000,rnn
80.4229965209961,42.97100067138672,176000,rnn
80.08100128173828,42.672000885009766,192000,rnn
79.52300262451172,42.099998474121094,208000,rnn
81.77999877929688,42.34299850463867,224000,rnn
80.08000183105469,42.61600112915039,240000,rnn
82.69599914550781,43.38100051879883,256000,rnn
81.0790023803711,42.65999984741211,272000,rnn
80.29299926757812,42.87099838256836,288000,rnn
81.2239990234375,43.7599983215332,304000,rnn
82.04900360107422,44.189998626708984,320000,rnn
82.3479995727539,43.643001556396484,336000,rnn
83.0270004272461,43.3390007019043,352000,rnn
81.8550033569336,42.854000091552734,368000,rnn
81.70899963378906,43.0099983215332,384000,rnn
79.08799743652344,42.04999923706055,400000,rnn
81.44599914550781,42.729000091552734,416000,rnn
80.18399810791016,43.04399871826172,432000,rnn
81.69000244140625,43.13999938964844,448000,rnn
82.85399627685547,43.55799865722656,464000,rnn
82.00599670410156,43.36800003051758,480000,rnn
81.22599792480469,42.49800109863281,496000,rnn
81.53500366210938,44.5099983215332,512000,rnn
81.4209976196289,43.691001892089844,528000,rnn
81.36599731445312,43.66299819946289,544000,rnn
80.60600280761719,42.672000885009766,560000,rnn
81.18399810791016,43.75699996948242,576000,rnn
81.62699890136719,42.792999267578125,592000,rnn
82.79399871826172,42.61000061035156,608000,rnn
82.01899719238281,42.8129997253418,624000,rnn
82.31700134277344,42.433998107910156,640000,rnn
82.55400085449219,43.71699905395508,656000,rnn
82.58000183105469,42.518001556396484,672000,rnn
80.64900207519531,42.74399948120117,688000,rnn
83.86900329589844,43.8129997253418,704000,rnn
83.5469970703125,43.1609992980957,720000,rnn
81.70099639892578,43.13199996948242,736000,rnn
84.00399780273438,43.965999603271484,752000,rnn
83.63800048828125,44.180999755859375,768000,rnn
83.3010025024414,43.21200180053711,784000,rnn
83.27400207519531,43.96500015258789,800000,rnn
82.125,43.10599899291992,816000,rnn
83.65899658203125,43.85300064086914,832000,rnn
83.51799774169922,43.7130012512207,848000,rnn
82.7959976196289,43.79800033569336,864000,rnn
84.7750015258789,43.55099868774414,880000,rnn
84.79499816894531,45.74300003051758,896000,rnn
84.03900146484375,45.22800064086914,912000,rnn
83.63899993896484,43.95899963378906,928000,rnn
83.29199981689453,43.97800064086914,944000,rnn
83.90499877929688,44.8390007019043,960000,rnn
83.63099670410156,44.61000061035156,976000,rnn
81.42400360107422,43.930999755859375,992000,rnn
83.07099914550781,45.91699981689453,1008000,rnn
83.20700073242188,46.284000396728516,1024000,rnn
83.76000213623047,45.505001068115234,1040000,rnn
84.67900085449219,45.237998962402344,1056000,rnn
82.74400329589844,45.637001037597656,1072000,rnn
83.95600128173828,46.803001403808594,1088000,rnn
84.125,45.694000244140625,1104000,rnn
84.10800170898438,45.736000061035156,1120000,rnn
82.66300201416016,45.124000549316406,1136000,rnn
83.61499786376953,44.77899932861328,1152000,rnn
82.61799621582031,44.7869987487793,1168000,rnn
83.06199645996094,45.08300018310547,1184000,rnn
84.96099853515625,44.81700134277344,1200000,rnn
84.4749984741211,45.183998107910156,1216000,rnn
82.69200134277344,45.0099983215332,1232000,rnn
84.30599975585938,45.268001556396484,1248000,rnn
84.11000061035156,45.66299819946289,1264000,rnn
82.33899688720703,45.23699951171875,1280000,rnn
85.69400024414062,45.68600082397461,1296000,rnn
85.25900268554688,46.38199996948242,1312000,rnn
84.48100280761719,46.104000091552734,1328000,rnn
83.21299743652344,44.21900177001953,1344000,rnn
84.70700073242188,46.0880012512207,1360000,rnn
84.05000305175781,45.43299865722656,1376000,rnn
84.45500183105469,45.32699966430664,1392000,rnn
84.39800262451172,45.40299987792969,1408000,rnn
84.9229965209961,46.584999084472656,1424000,rnn
83.73999786376953,46.308998107910156,1440000,rnn
84.74500274658203,46.268001556396484,1456000,rnn
82.59700012207031,45.145999908447266,1472000,rnn
84.01100158691406,45.994998931884766,1488000,rnn
84.62100219726562,46.6879997253418,1504000,rnn
85.0250015258789,45.15299987792969,1520000,rnn
83.73500061035156,46.393001556396484,1536000,rnn
83.59100341796875,46.441001892089844,1552000,rnn
83.91500091552734,45.96799850463867,1568000,rnn
83.70899963378906,46.13600158691406,1584000,rnn
82.53299713134766,45.34299850463867,1600000,rnn
85.62899780273438,46.770999908447266,1616000,rnn
83.51399993896484,45.71200180053711,1632000,rnn
83.99500274658203,46.81800079345703,1648000,rnn
84.4469985961914,47.05799865722656,1664000,rnn
84.46800231933594,45.99399948120117,1680000,rnn
84.08999633789062,45.71099853515625,1696000,rnn
83.08300018310547,45.64699935913086,1712000,rnn
84.125,45.42300033569336,1728000,rnn
83.58100128173828,44.902000427246094,1744000,rnn
83.89399719238281,44.87799835205078,1760000,rnn
84.05500030517578,45.724998474121094,1776000,rnn
84.51300048828125,45.667999267578125,1792000,rnn
