test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
77.42900085449219,42.152000427246094,0,rnn
77.95899963378906,41.24399948120117,16000,rnn
76.92400360107422,41.560001373291016,32000,rnn
79.30599975585938,42.46900177001953,48000,rnn
77.78099822998047,42.79499816894531,64000,rnn
78.85099792480469,43.7239990234375,80000,rnn
76.97899627685547,42.111000061035156,96000,rnn
76.53900146484375,40.79999923706055,112000,rnn
78.31500244140625,41.233001708984375,128000,rnn
78.00199890136719,40.9370002746582,144000,rnn
78.39600372314453,41.801998138427734,160000,rnn
78.0479965209961,41.49599838256836,176000,rnn
77.63200378417969,41.29499816894531,192000,rnn
77.62699890136719,40.391998291015625,208000,rnn
78.83000183105469,41.26499938964844,224000,rnn
79.56900024414062,40.96699905395508,240000,rnn
79.63400268554688,40.79800033569336,256000,rnn
79.79100036621094,41.0629997253418,272000,rnn
78.91400146484375,40.68899917602539,288000,rnn
78.64800262451172,40.68199920654297,304000,rnn
79.10099792480469,40.91600036621094,320000,rnn
80.8219985961914,40.792999267578125,336000,rnn
79.4000015258789,40.305999755859375,352000,rnn
80.44300079345703,41.40399932861328,368000,rnn
81.29399871826172,41.23099899291992,384000,rnn
81.19599914550781,42.35900115966797,400000,rnn
81.00599670410156,41.70800018310547,416000,rnn
80.91200256347656,41.5099983215332,432000,rnn
81.02400207519531,42.678001403808594,448000,rnn
82.55400085449219,43.20600128173828,464000,rnn
81.26300048828125,43.11000061035156,480000,rnn
80.21700286865234,41.66999816894531,496000,rnn
79.77300262451172,41.90800094604492,512000,rnn
80.30699920654297,42.775001525878906,528000,rnn
82.22699737548828,41.7599983215332,544000,rnn
81.48699951171875,41.736000061035156,560000,rnn
82.13899993896484,43.316001892089844,576000,rnn
80.1520004272461,43.09000015258789,592000,rnn
80.59100341796875,42.67300033569336,608000,rnn
80.44000244140625,42.130001068115234,624000,rnn
79.60199737548828,42.12099838256836,640000,rnn
81.85099792480469,41.49300003051758,656000,rnn
81.91799926757812,42.57099914550781,672000,rnn
81.32099914550781,42.68000030517578,688000,rnn
79.40799713134766,42.01300048828125,704000,rnn
81.21499633789062,43.12900161743164,720000,rnn
82.22599792480469,44.16600036621094,736000,rnn
79.49299621582031,42.86399841308594,752000,rnn
80.90799713134766,42.85599899291992,768000,rnn
80.64700317382812,43.25899887084961,784000,rnn
83.7239990234375,44.077999114990234,800000,rnn
82.26599884033203,42.54100036621094,816000,rnn
82.18399810791016,41.70199966430664,832000,rnn
82.4010009765625,44.05099868774414,848000,rnn
82.10399627685547,42.59199905395508,864000,rnn
83.44200134277344,44.612998962402344,880000,rnn
81.93699645996094,42.62900161743164,896000,rnn
81.68299865722656,43.57500076293945,912000,rnn
81.38899993896484,42.887001037597656,928000,rnn
81.23500061035156,42.56700134277344,944000,rnn
82.61299896240234,43.94900131225586,960000,rnn
82.28299713134766,45.00199890136719,976000,rnn
84.8239974975586,44.53799819946289,992000,rnn
81.25599670410156,42.814998626708984,1008000,rnn
84.21399688720703,44.31700134277344,1024000,rnn
84.9739990234375,43.97999954223633,1040000,rnn
83.78900146484375,43.92300033569336,1056000,rnn
83.31999969482422,44.20800018310547,1072000,rnn
82.64299774169922,43.17399978637695,1088000,rnn
82.45500183105469,44.51100158691406,1104000,rnn
82.88800048828125,43.29899978637695,1120000,rnn
82.78900146484375,44.0369987487793,1136000,rnn
83.02899932861328,44.189998626708984,1152000,rnn
82.48500061035156,44.297000885009766,1168000,rnn
84.5770034790039,44.207000732421875,1184000,rnn
82.5530014038086,43.428001403808594,1200000,rnn
82.87899780273438,44.90599822998047,1216000,rnn
84.89199829101562,45.04199981689453,1232000,rnn
84.36299896240234,45.03499984741211,1248000,rnn
84.25599670410156,45.49599838256836,1264000,rnn
81.85800170898438,43.816001892089844,1280000,rnn
83.427001953125,44.89899826049805,1296000,rnn
83.5780029296875,44.64400100708008,1312000,rnn
83.68199920654297,45.09199905395508,1328000,rnn
80.99700164794922,43.694000244140625,1344000,rnn
82.3280029296875,44.387001037597656,1360000,rnn
83.72699737548828,45.685001373291016,1376000,rnn
84.16899871826172,45.507999420166016,1392000,rnn
82.36299896240234,44.41999816894531,1408000,rnn
82.98699951171875,45.051998138427734,1424000,rnn
82.44400024414062,44.69200134277344,1440000,rnn
84.4209976196289,45.63600158691406,1456000,rnn
82.53199768066406,44.986000061035156,1472000,rnn
82.94200134277344,44.527000427246094,1488000,rnn
82.81300354003906,44.722999572753906,1504000,rnn
85.42400360107422,46.77799987792969,1520000,rnn
85.2490005493164,45.56999969482422,1536000,rnn
84.0250015258789,45.01300048828125,1552000,rnn
84.4749984741211,44.69599914550781,1568000,rnn
83.80500030517578,45.64799880981445,1584000,rnn
85.18299865722656,45.14400100708008,1600000,rnn
84.6969985961914,45.34400177001953,1616000,rnn
84.34700012207031,46.57899856567383,1632000,rnn
85.18499755859375,46.0099983215332,1648000,rnn
86.16999816894531,46.547000885009766,1664000,rnn
85.06999969482422,45.999000549316406,1680000,rnn
85.41200256347656,45.573001861572266,1696000,rnn
84.66899871826172,44.834999084472656,1712000,rnn
83.54199981689453,44.66400146484375,1728000,rnn
84.10099792480469,45.770999908447266,1744000,rnn
85.03099822998047,45.70500183105469,1760000,rnn
84.85900115966797,45.69599914550781,1776000,rnn
84.43299865722656,46.54899978637695,1792000,rnn
86.08599853515625,46.215999603271484,1808000,rnn
83.4990005493164,45.4119987487793,1824000,rnn
84.70500183105469,46.22600173950195,1840000,rnn
83.94999694824219,45.617000579833984,1856000,rnn
85.73899841308594,46.36899948120117,1872000,rnn
84.73899841308594,45.66899871826172,1888000,rnn
84.71800231933594,46.84299850463867,1904000,rnn
84.85099792480469,46.47700119018555,1920000,rnn
84.27899932861328,46.066001892089844,1936000,rnn
85.7300033569336,46.84000015258789,1952000,rnn
84.94499969482422,44.79600143432617,1968000,rnn
85.76599884033203,45.78499984741211,1984000,rnn
86.4729995727539,46.512001037597656,2000000,rnn
85.61100006103516,46.51499938964844,2016000,rnn
85.4729995727539,47.4010009765625,2032000,rnn
86.4739990234375,47.737998962402344,2048000,rnn
84.7959976196289,46.354000091552734,2064000,rnn
83.89199829101562,45.582000732421875,2080000,rnn
84.16100311279297,45.400001525878906,2096000,rnn
84.66600036621094,45.79800033569336,2112000,rnn
83.17400360107422,46.50400161743164,2128000,rnn
84.71499633789062,45.98099899291992,2144000,rnn
85.86599731445312,46.9370002746582,2160000,rnn
86.63500213623047,46.650001525878906,2176000,rnn
85.54299926757812,47.83700180053711,2192000,rnn
86.12999725341797,47.834999084472656,2208000,rnn
86.7490005493164,47.60200119018555,2224000,rnn
84.66200256347656,47.564998626708984,2240000,rnn
86.47899627685547,47.4119987487793,2256000,rnn
84.77400207519531,47.332000732421875,2272000,rnn
85.34500122070312,47.356998443603516,2288000,rnn
83.8949966430664,46.04600143432617,2304000,rnn
85.58499908447266,47.757999420166016,2320000,rnn
86.96399688720703,48.05699920654297,2336000,rnn
85.73400115966797,47.33700180053711,2352000,rnn
85.3479995727539,46.534000396728516,2368000,rnn
82.875,44.99599838256836,2384000,rnn
84.63099670410156,45.7599983215332,2400000,rnn
85.88500213623047,45.65599822998047,2416000,rnn
86.19999694824219,47.04399871826172,2432000,rnn
86.70600128173828,47.5,2448000,rnn
85.18499755859375,46.340999603271484,2464000,rnn
85.05999755859375,46.388999938964844,2480000,rnn
85.86000061035156,47.21099853515625,2496000,rnn
87.9219970703125,48.08599853515625,2512000,rnn
87.38099670410156,46.994998931884766,2528000,rnn
85.64299774169922,47.13100051879883,2544000,rnn
86.5009994506836,46.94499969482422,2560000,rnn
86.14700317382812,46.44499969482422,2576000,rnn
85.90699768066406,46.96500015258789,2592000,rnn
85.00199890136719,46.948001861572266,2608000,rnn
85.24400329589844,46.50199890136719,2624000,rnn
85.97699737548828,46.755001068115234,2640000,rnn
86.06999969482422,45.5,2656000,rnn
84.6729965209961,45.5359992980957,2672000,rnn
85.56700134277344,46.268001556396484,2688000,rnn
86.66899871826172,46.90700149536133,2704000,rnn
85.84100341796875,47.42599868774414,2720000,rnn
86.48899841308594,47.15700149536133,2736000,rnn
86.51100158691406,47.270999908447266,2752000,rnn
86.05699920654297,47.8380012512207,2768000,rnn
86.09700012207031,47.82099914550781,2784000,rnn
86.19400024414062,47.70800018310547,2800000,rnn
84.91400146484375,47.104000091552734,2816000,rnn
