test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
77.48799896240234,42.36899948120117,0,rnn
78.26000213623047,43.30500030517578,16000,rnn
74.58000183105469,42.01599884033203,32000,rnn
72.62200164794922,40.49100112915039,48000,rnn
73.927001953125,40.685001373291016,64000,rnn
72.94499969482422,41.16600036621094,80000,rnn
74.39600372314453,40.608001708984375,96000,rnn
74.4010009765625,40.45800018310547,112000,rnn
73.81500244140625,39.284000396728516,128000,rnn
74.66600036621094,40.12900161743164,144000,rnn
76.49400329589844,40.882999420166016,160000,rnn
76.39199829101562,41.2130012512207,176000,rnn
77.25399780273438,40.53099822998047,192000,rnn
78.49099731445312,39.15700149536133,208000,rnn
78.93800354003906,40.88600158691406,224000,rnn
77.85199737548828,39.275001525878906,240000,rnn
76.16100311279297,40.70000076293945,256000,rnn
75.57599639892578,39.3650016784668,272000,rnn
75.73200225830078,39.24599838256836,288000,rnn
79.03500366210938,39.215999603271484,304000,rnn
75.51599884033203,39.40800094604492,320000,rnn
77.15899658203125,40.207000732421875,336000,rnn
76.91000366210938,39.428001403808594,352000,rnn
77.05799865722656,40.106998443603516,368000,rnn
76.88500213623047,39.81100082397461,384000,rnn
77.33200073242188,40.034000396728516,400000,rnn
78.2030029296875,41.25400161743164,416000,rnn
76.60600280761719,40.137001037597656,432000,rnn
75.83999633789062,38.970001220703125,448000,rnn
76.56500244140625,39.90299987792969,464000,rnn
78.19999694824219,40.097999572753906,480000,rnn
79.66500091552734,38.83700180053711,496000,rnn
78.98300170898438,39.28200149536133,512000,rnn
76.63800048828125,40.051998138427734,528000,rnn
76.6500015258789,39.27799987792969,544000,rnn
78.46499633789062,39.19200134277344,560000,rnn
79.2030029296875,40.012001037597656,576000,rnn
80.35700225830078,40.64099884033203,592000,rnn
78.19000244140625,39.944000244140625,608000,rnn
76.5,39.67499923706055,624000,rnn
76.80400085449219,40.60900115966797,640000,rnn
76.90399932861328,40.06999969482422,656000,rnn
76.20500183105469,40.29199981689453,672000,rnn
77.36000061035156,40.220001220703125,688000,rnn
78.08599853515625,41.439998626708984,704000,rnn
78.68800354003906,39.69200134277344,720000,rnn
79.67500305175781,40.52199935913086,736000,rnn
79.08100128173828,41.0989990234375,752000,rnn
78.95700073242188,41.74800109863281,768000,rnn
78.68199920654297,41.5359992980957,784000,rnn
78.76799774169922,41.452999114990234,800000,rnn
80.81900024414062,42.31100082397461,816000,rnn
80.90899658203125,42.57699966430664,832000,rnn
79.30400085449219,41.17599868774414,848000,rnn
80.35700225830078,42.071998596191406,864000,rnn
79.64600372314453,41.47700119018555,880000,rnn
79.5250015258789,41.16699981689453,896000,rnn
78.7969970703125,41.56700134277344,912000,rnn
79.10900115966797,41.856998443603516,928000,rnn
78.69000244140625,41.2599983215332,944000,rnn
79.63700103759766,41.9379997253418,960000,rnn
