test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
78.99299621582031,41.65399932861328,0,rnn
78.18599700927734,41.9010009765625,16000,rnn
78.65599822998047,42.00299835205078,32000,rnn
79.44999694824219,41.91400146484375,48000,rnn
78.052001953125,42.74599838256836,64000,rnn
80.04199981689453,43.387001037597656,80000,rnn
79.7979965209961,42.12799835205078,96000,rnn
78.43000030517578,41.54999923706055,112000,rnn
77.302001953125,41.05099868774414,128000,rnn
77.05599975585938,39.7140007019043,144000,rnn
77.26599884033203,39.05699920654297,160000,rnn
75.75199890136719,39.21900177001953,176000,rnn
73.58100128173828,37.994998931884766,192000,rnn
72.41200256347656,38.60599899291992,208000,rnn
72.25800323486328,36.1609992980957,224000,rnn
71.37100219726562,36.159000396728516,240000,rnn
68.86499786376953,35.393001556396484,256000,rnn
68.96199798583984,35.64500045776367,272000,rnn
70.73600006103516,35.49599838256836,288000,rnn
71.9229965209961,35.2140007019043,304000,rnn
70.21099853515625,34.617000579833984,320000,rnn
72.85600280761719,34.972999572753906,336000,rnn
72.68000030517578,34.999000549316406,352000,rnn
73.83300018310547,35.74399948120117,368000,rnn
74.49500274658203,36.02399826049805,384000,rnn
74.52200317382812,35.44499969482422,400000,rnn
71.64099884033203,35.28300094604492,416000,rnn
72.77100372314453,35.637001037597656,432000,rnn
74.36699676513672,35.595001220703125,448000,rnn
72.45800018310547,34.65999984741211,464000,rnn
73.13700103759766,34.76599884033203,480000,rnn
73.73400115966797,35.50299835205078,496000,rnn
73.18299865722656,35.4640007019043,512000,rnn
71.8239974975586,36.00400161743164,528000,rnn
72.85700225830078,36.56100082397461,544000,rnn
72.5999984741211,35.86399841308594,560000,rnn
74.30000305175781,36.96699905395508,576000,rnn
71.89800262451172,35.86000061035156,592000,rnn
72.3550033569336,36.31700134277344,608000,rnn
74.16500091552734,37.43000030517578,624000,rnn
73.98799896240234,36.191001892089844,640000,rnn
71.75599670410156,35.97100067138672,656000,rnn
71.67500305175781,34.82099914550781,672000,rnn
72.52799987792969,35.77799987792969,688000,rnn
73.26000213623047,36.35200119018555,704000,rnn
72.35399627685547,35.76900100708008,720000,rnn
74.13800048828125,36.43600082397461,736000,rnn
72.47100067138672,36.733001708984375,752000,rnn
73.76499938964844,36.20600128173828,768000,rnn
74.11100006103516,36.32699966430664,784000,rnn
74.20899963378906,36.29899978637695,800000,rnn
72.1780014038086,35.83300018310547,816000,rnn
73.4280014038086,36.3390007019043,832000,rnn
75.13099670410156,36.81800079345703,848000,rnn
73.07599639892578,36.81999969482422,864000,rnn
72.42900085449219,35.65299987792969,880000,rnn
72.65899658203125,36.305999755859375,896000,rnn
72.65799713134766,36.308998107910156,912000,rnn
73.14199829101562,36.89400100708008,928000,rnn
73.98799896240234,37.154998779296875,944000,rnn
74.40499877929688,36.48099899291992,960000,rnn
73.62899780273438,37.064998626708984,976000,rnn
72.77100372314453,36.60499954223633,992000,rnn
72.87699890136719,37.15399932861328,1008000,rnn
71.68000030517578,36.053001403808594,1024000,rnn
72.60399627685547,36.801998138427734,1040000,rnn
73.62200164794922,36.2859992980957,1056000,rnn
73.1969985961914,36.854000091552734,1072000,rnn
74.13400268554688,37.909000396728516,1088000,rnn
73.54000091552734,37.0989990234375,1104000,rnn
74.0989990234375,37.222999572753906,1120000,rnn
72.39600372314453,37.0989990234375,1136000,rnn
73.60399627685547,37.36600112915039,1152000,rnn
74.71900177001953,37.73099899291992,1168000,rnn
73.0989990234375,38.007999420166016,1184000,rnn
73.75,37.7400016784668,1200000,rnn
72.31300354003906,37.50699996948242,1216000,rnn
72.58399963378906,37.81999969482422,1232000,rnn
73.83699798583984,37.85100173950195,1248000,rnn
71.88999938964844,37.01499938964844,1264000,rnn
72.66500091552734,37.68199920654297,1280000,rnn
73.24199676513672,38.073001861572266,1296000,rnn
74.08300018310547,37.52899932861328,1312000,rnn
74.29399871826172,38.13800048828125,1328000,rnn
73.74500274658203,37.35900115966797,1344000,rnn
73.39199829101562,37.73500061035156,1360000,rnn
73.35600280761719,38.358001708984375,1376000,rnn
73.80899810791016,39.35300064086914,1392000,rnn
73.25299835205078,39.15399932861328,1408000,rnn
74.68599700927734,39.0629997253418,1424000,rnn
75.93699645996094,39.45399856567383,1440000,rnn
73.42900085449219,38.965999603271484,1456000,rnn
74.3759994506836,39.4739990234375,1472000,rnn
74.14700317382812,38.611000061035156,1488000,rnn
73.927001953125,38.79499816894531,1504000,rnn
74.58599853515625,40.106998443603516,1520000,rnn
75.21299743652344,39.959999084472656,1536000,rnn
74.61399841308594,40.04499816894531,1552000,rnn
73.7229995727539,39.71900177001953,1568000,rnn
76.13400268554688,40.45399856567383,1584000,rnn
75.12200164794922,41.198001861572266,1600000,rnn
74.80599975585938,40.81399917602539,1616000,rnn
73.99400329589844,40.73899841308594,1632000,rnn
74.9749984741211,41.097999572753906,1648000,rnn
74.7229995727539,41.082000732421875,1664000,rnn
76.6709976196289,41.553001403808594,1680000,rnn
