test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
77.42900085449219,42.152000427246094,0,rnn
76.30999755859375,42.507999420166016,16000,rnn
77.39399719238281,43.198001861572266,32000,rnn
73.38099670410156,40.895999908447266,48000,rnn
73.62799835205078,40.34400177001953,64000,rnn
70.78600311279297,40.21200180053711,80000,rnn
70.33799743652344,39.71099853515625,96000,rnn
71.68800354003906,40.4630012512207,112000,rnn
73.12799835205078,40.452999114990234,128000,rnn
72.34500122070312,40.694000244140625,144000,rnn
74.01399993896484,41.249000549316406,160000,rnn
73.14700317382812,40.12900161743164,176000,rnn
73.80799865722656,40.86399841308594,192000,rnn
75.26899719238281,40.944000244140625,208000,rnn
72.67900085449219,40.63199996948242,224000,rnn
74.75700378417969,40.91699981689453,240000,rnn
75.26399993896484,40.86000061035156,256000,rnn
75.75700378417969,41.21500015258789,272000,rnn
75.58100128173828,41.56100082397461,288000,rnn
76.97100067138672,39.763999938964844,304000,rnn
77.58599853515625,40.277000427246094,320000,rnn
77.34300231933594,39.39699935913086,336000,rnn
77.37300109863281,39.845001220703125,352000,rnn
77.33000183105469,40.77399826049805,368000,rnn
75.61900329589844,39.31999969482422,384000,rnn
77.27999877929688,40.57400131225586,400000,rnn
75.35600280761719,39.25,416000,rnn
77.65299987792969,39.29399871826172,432000,rnn
76.94499969482422,41.3380012512207,448000,rnn
75.70800018310547,38.430999755859375,464000,rnn
77.94100189208984,38.577999114990234,480000,rnn
77.40699768066406,39.097999572753906,496000,rnn
77.01599884033203,38.71900177001953,512000,rnn
77.06700134277344,39.3489990234375,528000,rnn
77.68900299072266,40.66299819946289,544000,rnn
76.23400115966797,39.244998931884766,560000,rnn
77.03900146484375,40.305999755859375,576000,rnn
77.5,39.85100173950195,592000,rnn
77.23500061035156,40.066001892089844,608000,rnn
77.9010009765625,40.37300109863281,624000,rnn
79.4800033569336,39.84000015258789,640000,rnn
77.04100036621094,39.702999114990234,656000,rnn
78.2300033569336,40.42300033569336,672000,rnn
77.41699981689453,39.93000030517578,688000,rnn
77.68699645996094,41.33000183105469,704000,rnn
78.56099700927734,40.20500183105469,720000,rnn
78.68099975585938,40.45600128173828,736000,rnn
77.11100006103516,40.90599822998047,752000,rnn
78.49800109863281,40.72999954223633,768000,rnn
79.23300170898438,39.821998596191406,784000,rnn
78.77799987792969,40.74700164794922,800000,rnn
78.75199890136719,39.6619987487793,816000,rnn
78.8239974975586,40.07500076293945,832000,rnn
80.58899688720703,40.016998291015625,848000,rnn
80.28600311279297,40.70199966430664,864000,rnn
80.13099670410156,40.25699996948242,880000,rnn
79.47100067138672,40.23500061035156,896000,rnn
78.85199737548828,40.87900161743164,912000,rnn
