test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
77.42900085449219,42.152000427246094,0,rnn
78.3550033569336,41.66299819946289,16000,rnn
78.08499908447266,42.21799850463867,32000,rnn
73.38600158691406,40.31100082397461,48000,rnn
70.91699981689453,39.12200164794922,64000,rnn
70.7969970703125,40.87200164794922,80000,rnn
68.68900299072266,40.345001220703125,96000,rnn
71.30999755859375,39.875,112000,rnn
71.18399810791016,41.15399932861328,128000,rnn
70.44999694824219,41.45600128173828,144000,rnn
71.43800354003906,41.768001556396484,160000,rnn
73.81600189208984,40.909000396728516,176000,rnn
74.3239974975586,42.077999114990234,192000,rnn
72.60099792480469,41.13800048828125,208000,rnn
75.10399627685547,42.57400131225586,224000,rnn
77.03700256347656,42.2869987487793,240000,rnn
76.46700286865234,40.82099914550781,256000,rnn
76.74400329589844,41.31700134277344,272000,rnn
76.51599884033203,41.80099868774414,288000,rnn
77.49199676513672,43.49100112915039,304000,rnn
78.23899841308594,42.42599868774414,320000,rnn
77.447998046875,43.494998931884766,336000,rnn
77.96700286865234,42.790000915527344,352000,rnn
77.0459976196289,43.17100143432617,368000,rnn
76.49400329589844,41.49700164794922,384000,rnn
76.35299682617188,42.78200149536133,400000,rnn
75.4260025024414,43.40399932861328,416000,rnn
76.87899780273438,42.981998443603516,432000,rnn
77.41400146484375,42.37799835205078,448000,rnn
77.44599914550781,41.57899856567383,464000,rnn
76.68399810791016,42.132999420166016,480000,rnn
76.78399658203125,40.810001373291016,496000,rnn
77.87899780273438,41.90299987792969,512000,rnn
76.97200012207031,42.060001373291016,528000,rnn
76.53500366210938,42.04600143432617,544000,rnn
77.03800201416016,41.94300079345703,560000,rnn
79.05799865722656,42.91999816894531,576000,rnn
77.65499877929688,40.672000885009766,592000,rnn
77.61499786376953,41.433998107910156,608000,rnn
79.13899993896484,41.334999084472656,624000,rnn
78.802001953125,41.775001525878906,640000,rnn
79.04299926757812,42.446998596191406,656000,rnn
77.81400299072266,42.29100036621094,672000,rnn
77.45500183105469,42.19599914550781,688000,rnn
78.35399627685547,41.527000427246094,704000,rnn
79.46299743652344,42.25299835205078,720000,rnn
78.56300354003906,41.266998291015625,736000,rnn
78.44400024414062,40.516998291015625,752000,rnn
78.1760025024414,41.29100036621094,768000,rnn
79.3550033569336,41.547000885009766,784000,rnn
79.98300170898438,41.479000091552734,800000,rnn
78.96099853515625,41.395999908447266,816000,rnn
79.2760009765625,41.597999572753906,832000,rnn
78.09600067138672,41.060001373291016,848000,rnn
79.80799865722656,41.987998962402344,864000,rnn
78.67400360107422,41.16699981689453,880000,rnn
80.45700073242188,42.56399917602539,896000,rnn
80.58599853515625,42.26100158691406,912000,rnn
78.56800079345703,42.44200134277344,928000,rnn
79.88600158691406,40.797000885009766,944000,rnn
80.48400115966797,42.31800079345703,960000,rnn
80.23500061035156,41.071998596191406,976000,rnn
80.77899932861328,41.301998138427734,992000,rnn
77.51899719238281,41.845001220703125,1008000,rnn
79.23899841308594,41.57400131225586,1024000,rnn
79.30500030517578,42.61899948120117,1040000,rnn
79.18299865722656,42.099998474121094,1056000,rnn
80.36599731445312,42.74100112915039,1072000,rnn
78.7750015258789,42.05699920654297,1088000,rnn
78.61100006103516,41.31399917602539,1104000,rnn
80.71099853515625,42.26100158691406,1120000,rnn
80.44000244140625,42.5629997253418,1136000,rnn
79.18499755859375,41.85200119018555,1152000,rnn
81.68099975585938,41.698001861572266,1168000,rnn
81.0999984741211,42.19599914550781,1184000,rnn
79.83699798583984,42.749000549316406,1200000,rnn
79.93499755859375,43.18199920654297,1216000,rnn
80.80699920654297,41.52399826049805,1232000,rnn
79.7239990234375,42.220001220703125,1248000,rnn
79.99299621582031,42.25199890136719,1264000,rnn
80.32499694824219,41.99800109863281,1280000,rnn
80.2699966430664,42.53200149536133,1296000,rnn
80.69599914550781,42.564998626708984,1312000,rnn
79.43599700927734,42.0260009765625,1328000,rnn
81.65599822998047,43.10300064086914,1344000,rnn
79.52200317382812,41.94300079345703,1360000,rnn
81.01300048828125,42.465999603271484,1376000,rnn
