"model_bad_id","model_good_id","model_bad_name","model_bad_step","model_good_name","model_good_step","reward_bad","reward_good"
"0","58","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P2","38400000","89.998","30.001999999999995"
"0","59","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P2","51200000","88.031","31.968999999999994"
"0","60","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P2","64000000","87.789","32.211"
"0","61","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P2","76800000","88.198","31.802000000000007"
"0","62","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P2","80000000","87.38","32.620000000000005"
"0","63","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","12800000","93.825","26.174999999999997"
"0","64","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","25600000","91.362","28.638000000000005"
"0","65","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","38400000","87.601","32.399"
"0","66","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","51200000","86.657","33.343"
"0","67","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","64000000","85.391","34.608999999999995"
"0","68","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","76800000","85.022","34.977999999999994"
"0","69","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P2","80000000","84.758","35.242000000000004"
"0","70","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","12800000","91.55","28.450000000000003"
"0","71","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","25600000","90.666","29.334000000000003"
"0","72","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","38400000","87.501","32.498999999999995"
"0","73","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","51200000","88.403","31.596999999999994"
"0","74","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","64000000","87.923","32.077"
"0","75","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","76800000","87.846","32.153999999999996"
"0","76","RNN h=128 m=128 P2","64000128","RNN h=128 m=64 P1","80000000","88.115","31.885000000000005"
"0","77","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","12800000","94.403","25.596999999999994"
"0","78","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","25600000","90.951","29.049000000000007"
"0","79","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","38400000","90.428","29.572000000000003"
