"model_bad_id","model_good_id","model_bad_name","model_bad_step","model_good_name","model_good_step","reward_bad","reward_good","caller/truth_ratio","caller/Messages.CARICO_NOT_BRISCOLA_True","caller/Messages.CARICO_NOT_BRISCOLA_False","caller/Messages.BRISCOLINO_True","caller/Messages.BRISCOLINO_False","caller/Messages.BRISCOLA_FIGURA_True","caller/Messages.BRISCOLA_FIGURA_False","caller/Messages.BRISCOLA_CARICO_True","caller/Messages.BRISCOLA_CARICO_False","caller/Messages.LISCIO_True","caller/Messages.LISCIO_False","callee/truth_ratio","callee/Messages.CARICO_NOT_BRISCOLA_True","callee/Messages.CARICO_NOT_BRISCOLA_False","callee/Messages.BRISCOLINO_True","callee/Messages.BRISCOLINO_False","callee/Messages.BRISCOLA_FIGURA_True","callee/Messages.BRISCOLA_FIGURA_False","callee/Messages.BRISCOLA_CARICO_True","callee/Messages.BRISCOLA_CARICO_False","callee/Messages.LISCIO_True","callee/Messages.LISCIO_False","good/truth_ratio","good/Messages.CARICO_NOT_BRISCOLA_True","good/Messages.CARICO_NOT_BRISCOLA_False","good/Messages.BRISCOLINO_True","good/Messages.BRISCOLINO_False","good/Messages.BRISCOLA_FIGURA_True","good/Messages.BRISCOLA_FIGURA_False","good/Messages.BRISCOLA_CARICO_True","good/Messages.BRISCOLA_CARICO_False","good/Messages.LISCIO_True","good/Messages.LISCIO_False"
"0","0","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase RNN h=32 m=64 P2","192000000","87.877","32.123000000000005","0.394","0.11","0.0","0.00725","0.06225","0.25525","0.3885","0.012625","0.0","0.008875","0.15525","0.313875","0.07975","0.0","0.011625","0.09","0.209125","0.341","0.008375","0.0","0.005","0.255125","0.36483333333333345","0.16779166666666667","0.0","0.02300000000000004","0.09466666666666687","0.1562083333333334","0.29004166666666625","0.011958333333333316","4.1666666666666665e-05","0.005875000000000005","0.25041666666666657"
"0","1","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase RNN h=32 m=128 P2","192000000","89.142","30.858000000000004","0.390375","0.10725","0.0","0.00675","0.060875","0.2545","0.389375","0.013875","0.0","0.008","0.159375","0.3125","0.087","0.0","0.0115","0.093","0.2005","0.34125","0.008875","0.0","0.004625","0.25325","0.9907916666666678","0.5280000000000001","0.0","0.16691666666666644","0.0","0.2178333333333334","0.0","0.036375000000000005","0.0","0.04166666666666664","0.009208333333333337"
"0","2","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase RNN h=64 m=64 P2","192000000","89.444","30.555999999999997","0.39575","0.111","0.0","0.007125","0.061375","0.254125","0.38","0.015375","0.0","0.008125","0.162875","0.328","0.089375","0.0","0.011875","0.09125","0.21275","0.32975","0.008625","0.0","0.005375","0.251","0.990583333333335","0.301666666666667","0.0","0.2850000000000001","0.0","0.20462499999999983","0.0036249999999999963","0.08900000000000004","0.0","0.11029166666666669","0.00579166666666667"
"0","3","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase RNN h=128 m=64 P2","192000000","89.565","30.435000000000002","0.3995","0.11125","0.0","0.00825","0.05925","0.25625","0.37925","0.013375","0.000125","0.010375","0.161875","0.31975","0.0845","0.0","0.011625","0.08775","0.20775","0.34075","0.010875","0.0","0.005","0.25175","1.0","0.41270833333333257","0.0","0.0","0.0","0.09929166666666685","0.0","0.2927916666666667","0.0","0.19520833333333323","0.0"
"0","4","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase RNN h=64 m=128 P2","192000000","88.58","31.42","0.391375","0.107375","0.0","0.006875","0.06475","0.255625","0.3805","0.012625","0.0","0.008875","0.163375","0.317125","0.085625","0.0","0.011875","0.0975","0.207375","0.333125","0.008875","0.0","0.003375","0.25225","1.0","0.6676666666666667","0.0","0.08787500000000015","0.0","0.21141666666666703","0.0","0.016749999999999977","0.0","0.016291666666666656","0.0"
"0","5","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase NN h=64 sample_batch=True P2","192000000","88.623","31.376999999999995","0.411","0.110375","0.0","0.007875","0.060625","0.263625","0.371875","0.018375","0.0","0.01075","0.1565","0.341375","0.091125","0.0","0.011875","0.086","0.215625","0.340125","0.0165","0.0","0.00625","0.2325","0.9717500000000003","0.18666666666666668","0.0","0.1985000000000001","0.0","0.22137500000000007","0.028250000000000015","0.18291666666666637","0.0","0.18229166666666646","0.0"
"0","6","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase NN h=32 sample_batch=True P2","192000000","84.587","35.413","0.398","0.1075","0.0","0.006625","0.063","0.261625","0.3815","0.01425","0.0","0.008","0.1575","0.3135","0.086","0.0","0.01075","0.091375","0.19925","0.345","0.0125","0.0","0.005","0.250125","0.8418750000000007","0.10491666666666667","0.014541666666666661","0.36420833333333374","0.07604166666666669","0.15199999999999986","0.002291666666666667","0.05945833333333328","0.013208333333333315","0.16129166666666658","0.05204166666666664"
"0","7","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase NN h=32 sample_batch=False P2","192000000","87.608","32.391999999999996","0.4075","0.113","0.0","0.00775","0.06225","0.25975","0.377125","0.016875","0.0","0.010125","0.153125","0.3345","0.093625","0.0","0.011625","0.08775","0.209625","0.34525","0.01475","0.0","0.004875","0.2325","0.7307083333333338","0.1738750000000001","0.15745833333333353","0.16529166666666634","0.0009166666666666664","0.19554166666666653","0.06129166666666658","0.10158333333333357","0.044458333333333336","0.0944166666666665","0.005166666666666666"
"0","8","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM 2nd phase NN h=64 sample_batch=False P2","192000000","87.475","32.525000000000006","0.412375","0.1125","0.0","0.006625","0.05575","0.264875","0.379625","0.017625","0.0","0.01075","0.15225","0.3535","0.094625","0.0","0.012125","0.080875","0.2265","0.342","0.01525","0.0","0.005","0.223625","0.9999166666666667","0.2598750000000001","0.0","0.21629166666666663","0.0","0.20504166666666668","0.0","0.16679166666666656","0.0","0.15191666666666673","8.333333333333333e-05"
"0","9","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM RNN h=128 m=128 P2","102400256","91.456","28.543999999999997","0.395125","0.108625","0.0","0.00775","0.058875","0.25625","0.379875","0.013625","0.0","0.008875","0.166125","0.325875","0.0885","0.0","0.012","0.0915","0.210875","0.33525","0.0095","0.0","0.005","0.247375","1.0","0.2894166666666663","0.0","0.3450416666666668","0.0","0.24512499999999995","0.0","0.06525000000000003","0.0","0.055166666666666635","0.0"
"0","10","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM RNN h=128 m=128 P2","128000256","92.013","27.986999999999995","0.396","0.108","0.0","0.007375","0.0595","0.26075","0.377875","0.012125","0.0","0.00775","0.166625","0.329125","0.088125","0.0","0.0115","0.0845","0.215125","0.336375","0.01","0.0","0.004375","0.25","1.0","0.28341666666666626","0.0","0.32008333333333333","0.0","0.0999583333333333","0.0","0.046583333333333254","0.0","0.24995833333333298","0.0"
"0","11","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM RNN h=128 m=128 P2","153600256","91.492","28.507999999999996","0.3965","0.109375","0.0","0.0075","0.057","0.2575","0.38225","0.014375","0.0","0.00775","0.16425","0.32725","0.0875","0.0","0.01175","0.087625","0.214125","0.334875","0.010125","0.0","0.00375","0.25025","1.0","0.4971249999999999","0.0","0.16358333333333358","0.0","0.053833333333333365","0.0","0.13849999999999998","0.0","0.14695833333333336","0.0"
"0","12","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM RNN h=128 m=128 P2","160000256","91.639","28.361000000000004","0.39425","0.10575","0.0","0.008375","0.06025","0.259375","0.37975","0.013875","0.0","0.006875","0.16575","0.32275","0.085125","0.0","0.01175","0.089","0.21175","0.33675","0.01","0.0","0.004125","0.2515","1.0","0.48279166666666673","0.0","0.08804166666666673","0.0","0.053958333333333344","0.0","0.152375","0.0","0.22283333333333324","0.0"
"0","13","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","25600000","90.477","29.522999999999996","0.42175","0.1115","0.0","0.008875","0.06","0.274","0.36975","0.017625","0.0","0.00975","0.1485","0.34225","0.09175","0.0","0.012125","0.084875","0.214625","0.339875","0.017875","0.0","0.005875","0.233","0.9988750000000002","0.3194583333333333","0.00016666666666666666","0.2467083333333332","0.0003333333333333333","0.11545833333333361","0.0005416666666666666","0.08854166666666677","8.333333333333333e-05","0.2287083333333331","0.0"
"0","14","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","51200000","89.532","30.468000000000004","0.419","0.113125","0.0","0.00725","0.058","0.27175","0.37725","0.018375","0.0","0.0085","0.14575","0.3415","0.091375","0.0","0.012875","0.08775","0.218125","0.335125","0.01425","0.0","0.004875","0.235625","0.9907500000000006","0.3946249999999999","0.0005833333333333333","0.2775416666666663","0.0011666666666666665","0.07766666666666658","0.007208333333333334","0.07970833333333331","4.1666666666666665e-05","0.1612083333333331","0.00024999999999999995"
"0","15","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","76800000","87.303","32.697","0.433","0.11275","0.0","0.007375","0.05475","0.278875","0.3735","0.02375","0.0","0.01025","0.13875","0.352875","0.087875","0.0","0.01225","0.082","0.226875","0.336625","0.02075","0.0","0.005125","0.2285","0.9990000000000002","0.012958333333333303","8.333333333333333e-05","0.1208750000000003","0.0003333333333333333","0.33504166666666635","0.0003333333333333333","0.31870833333333315","0.00024999999999999995","0.21141666666666656","0.0"
"0","16","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","102400000","88.616","31.384","0.417375","0.10875","0.0","0.009375","0.05825","0.268","0.3755","0.02025","0.000125","0.011","0.14875","0.34775","0.094","0.0","0.011875","0.08075","0.219625","0.34125","0.017375","0.0","0.004875","0.23025","0.9995833333333336","0.20116666666666638","0.0","0.06466666666666657","0.0","0.2878333333333332","0.00024999999999999995","0.11399999999999991","0.000125","0.33191666666666664","4.1666666666666665e-05"
"0","17","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","128000000","89.228","30.772000000000006","0.412125","0.107125","0.0","0.00775","0.05925","0.26825","0.377875","0.019625","0.0","0.009375","0.15075","0.342","0.0905","0.0","0.011875","0.082125","0.21925","0.341125","0.015375","0.0","0.005","0.23475","0.9990833333333338","0.19112499999999988","4.1666666666666665e-05","0.11166666666666679","0.0","0.3314583333333337","0.00016666666666666666","0.22433333333333338","0.0006666666666666665","0.1405000000000003","4.1666666666666665e-05"
"0","18","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","153600000","88.552","31.447999999999993","0.41725","0.111125","0.0","0.0085","0.05675","0.2695","0.37475","0.01775","0.0","0.010375","0.15125","0.341","0.089","0.0","0.012","0.08525","0.21975","0.3405","0.016","0.0","0.00425","0.23325","1.0","0.11795833333333339","0.0","0.23066666666666655","0.0","0.21133333333333318","0.0","0.1824583333333331","0.0","0.2575833333333334","0.0"
"0","19","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=64 sample_batch=False P2","160000000","87.867","32.132999999999996","0.413125","0.104875","0.0","0.00975","0.0565","0.269","0.3755","0.0185","0.0","0.011","0.154875","0.344625","0.0895","0.0","0.011875","0.0825","0.22275","0.340375","0.016625","0.0","0.003875","0.2325","1.0","0.13937500000000008","0.0","0.17054166666666684","0.0","0.22666666666666663","0.0","0.20916666666666672","0.0","0.2542499999999998","0.0"
"0","20","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","25600000","93.309","26.691000000000003","0.426625","0.111375","0.0","0.00825","0.05725","0.2785","0.36825","0.01825","0.000125","0.01025","0.14775","0.34775","0.09225","0.0","0.011375","0.084375","0.226625","0.3365","0.013125","0.0","0.004375","0.231375","0.9977500000000001","0.04049999999999999","0.0","0.5746666666666673","0.0003333333333333333","0.14316666666666666","0.0","0.1346666666666667","0.0018333333333333337","0.10475000000000013","8.333333333333333e-05"
"0","21","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","51200000","91.458","28.542","0.41225","0.109625","0.0","0.005875","0.0575","0.27125","0.37525","0.01625","0.0","0.00925","0.155","0.342125","0.086375","0.0","0.012375","0.088125","0.225375","0.337","0.013125","0.0","0.004875","0.23275","0.9852083333333342","0.32149999999999995","0.000125","0.22120833333333292","0.0007083333333333332","0.12008333333333351","0.002666666666666666","0.037375000000000005","0.00916666666666667","0.2850416666666663","0.002125"
"0","22","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","76800000","90.561","29.438999999999993","0.424125","0.115","0.0","0.00825","0.054875","0.271875","0.377","0.0185","0.000125","0.0105","0.143875","0.343125","0.096","0.0","0.012","0.08225","0.215625","0.340375","0.0135","0.0","0.006","0.23425","0.924125000000001","0.020250000000000015","0.0007916666666666664","0.0787916666666667","0.0017916666666666673","0.1312916666666671","0.027416666666666718","0.5013750000000001","0.012958333333333318","0.19241666666666668","0.03291666666666668"
"0","23","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","102400000","88.184","31.816000000000003","0.410125","0.111625","0.0","0.007","0.060375","0.2635","0.38","0.016875","0.0","0.011125","0.1495","0.331625","0.09025","0.0","0.011375","0.088625","0.212875","0.3435","0.012875","0.0","0.00425","0.23625","0.9952916666666669","0.18108333333333335","4.1666666666666665e-05","0.3255833333333334","0.0007499999999999998","0.0649999999999999","0.0005416666666666666","0.33929166666666694","0.0012916666666666664","0.08433333333333329","0.0020833333333333333"
"0","24","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","128000000","87.814","32.18600000000001","0.408125","0.11","0.0","0.008625","0.05975","0.26625","0.379","0.014875","0.0","0.008375","0.153125","0.33775","0.097","0.0","0.011875","0.08475","0.21","0.34575","0.01375","0.0","0.005125","0.23175","0.926125000000003","0.18058333333333323","0.0024166666666666664","0.24649999999999972","0.007833333333333341","0.08933333333333345","0.00841666666666667","0.09812500000000005","0.012333333333333328","0.31158333333333327","0.042874999999999934"
"0","25","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","153600000","86.785","33.215","0.410125","0.111625","0.0","0.00775","0.0615","0.264875","0.372875","0.01675","0.0","0.009125","0.1555","0.3275","0.0885","0.0","0.012","0.089375","0.209125","0.347625","0.014375","0.0","0.0035","0.2355","0.9948750000000008","0.281291666666667","0.00024999999999999995","0.18304166666666646","0.003333333333333332","0.2926666666666666","0.000125","0.13829166666666665","0.00029166666666666664","0.09958333333333343","0.0011249999999999997"
"0","26","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=False P2","160000000","86.587","33.413","0.410875","0.112875","0.0","0.008125","0.055875","0.265125","0.378875","0.015625","0.0","0.009125","0.154375","0.329","0.090625","0.0","0.01125","0.090375","0.208125","0.346","0.013625","0.0","0.005375","0.234625","0.9951250000000006","0.24112499999999973","0.000125","0.13983333333333345","0.0032499999999999985","0.31583333333333297","0.00024999999999999995","0.1099583333333335","0.00020833333333333332","0.1883749999999998","0.0010416666666666664"
"0","27","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","25600000","93.026","26.974000000000004","0.416625","0.109","0.0","0.00875","0.057125","0.271125","0.366625","0.01875","0.0","0.009","0.159625","0.34425","0.090875","0.0","0.011875","0.085","0.22125","0.333375","0.015375","0.0","0.004875","0.237375","0.9998750000000001","0.1475000000000001","0.0","0.6981249999999997","0.0","0.09875000000000005","8.333333333333333e-05","0.011791666666666652","4.1666666666666665e-05","0.04370833333333331","0.0"
"0","28","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","51200000","89.059","30.941000000000003","0.4255","0.115125","0.0","0.008875","0.056125","0.271","0.37275","0.02125","0.0","0.00925","0.145625","0.345375","0.095625","0.0","0.012375","0.08225","0.21675","0.342125","0.014625","0.0","0.006","0.23025","0.9906666666666674","0.168875","0.0","0.31537499999999996","0.0014583333333333334","0.29974999999999985","0.004624999999999999","0.07108333333333323","0.0025","0.13558333333333358","0.00075"
"0","29","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","76800000","89.611","30.388999999999996","0.41225","0.10925","0.0","0.006625","0.058125","0.268","0.375875","0.019375","0.0","0.009","0.15375","0.33875","0.096375","0.0","0.011375","0.08425","0.21175","0.344375","0.014875","0.0","0.004375","0.232625","0.9451250000000004","0.12687500000000013","0.0051666666666666675","0.17854166666666674","0.004333333333333331","0.22737499999999994","0.013708333333333335","0.3236249999999999","0.03062500000000003","0.08870833333333332","0.0010416666666666664"
"0","30","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","102400000","87.278","32.721999999999994","0.40275","0.104375","0.0","0.006625","0.06125","0.267375","0.375","0.01525","0.0","0.009125","0.161","0.333125","0.085875","0.0","0.011","0.08425","0.217625","0.34075","0.01375","0.0","0.004875","0.241875","0.977958333333334","0.18083333333333304","0.0005000000000000001","0.12700000000000003","0.010874999999999998","0.11658333333333337","0.0020833333333333333","0.12170833333333346","0.008375000000000002","0.4318333333333343","0.00020833333333333332"
"0","31","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","128000000","86.033","33.967","0.408125","0.111125","0.0","0.006625","0.061625","0.264375","0.377625","0.016625","0.0","0.009375","0.152625","0.32925","0.0895","0.0","0.011375","0.087125","0.211","0.344","0.01275","0.0","0.004625","0.239625","0.964833333333334","0.33045833333333363","0.00024999999999999995","0.09820833333333348","0.0013750000000000001","0.19183333333333302","0.003708333333333332","0.23587499999999992","0.029500000000000005","0.10845833333333338","0.0003333333333333333"
"0","32","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","153600000","85.226","34.774","0.3995","0.105375","0.0","0.007","0.061875","0.261625","0.38425","0.016","0.0","0.0095","0.154375","0.323625","0.08875","0.0","0.0115","0.08725","0.204625","0.345125","0.014","0.0","0.00475","0.244","0.9770416666666673","0.25875","0.000125","0.15454166666666674","0.007208333333333333","0.17870833333333316","0.0025833333333333333","0.20762499999999987","0.012916666666666667","0.17741666666666667","0.000125"
"0","33","COMM 2nd phase RNN h=32 m=64 P2","192000000","COMM NN h=32 sample_batch=True P2","160000000","85.256","34.744","0.401625","0.105375","0.0","0.00875","0.06275","0.263","0.38325","0.016375","0.0","0.008125","0.152375","0.321375","0.0865","0.0","0.0115","0.093","0.204625","0.34325","0.014","0.0","0.00475","0.242375","0.9810000000000005","0.22449999999999984","0.0","0.16479166666666675","0.005874999999999999","0.18454166666666685","0.002083333333333333","0.19924999999999998","0.010916666666666665","0.20791666666666694","0.000125"
